"","A.t1_rep2","A.t2_rep2","A.t3_rep2","A.t4_rep2","A.t5_rep2","A.t6_rep2","B.t1_rep2","B.t2_rep2","B.t3_rep2","B.t4_rep2","B.t5_rep2","B.t6_rep2"
"YDL248W",12535,14050,12430,12760,13885,12395,12275,13300,12715,14525,14115,11600
"YDL247W-A",140,75,130,105,160,115,180,210,215,150,170,190
"YDL247W",3185,3200,2935,2765,3130,2550,1990,1830,1920,2185,1825,1615
"YDL246C",2045,2105,1970,2110,2255,2120,1375,1620,1345,1875,1210,1435
"YDL245C",2240,2010,2185,2080,2080,1900,1665,1705,1350,1740,1690,1480
"YDL244W",2240,2610,2440,2480,2410,2460,715,865,750,960,605,820
"YDL243C",3820,3980,4100,4270,4275,3930,3035,2870,2815,3935,3225,3330
"YDL242W",930,1195,955,1070,1380,895,910,830,805,1095,1010,1005
"YDL241W",1055,1485,1100,1420,1515,1265,1785,2220,2260,2655,2000,1940
"YDL240C-A",70,15,80,70,45,20,35,30,5,40,40,25
"YDL240W",4695,4840,4430,4630,4610,4145,3820,3005,3815,3845,3125,3295
"YDL239C",1300,1365,1105,1265,1180,1090,1715,1740,2140,2200,1720,1685
"YDL238C",6170,7095,6105,6220,6675,5900,6795,7230,7120,8900,6650,6765
"YDL237W",20070,21410,18800,19680,21305,20385,18230,16840,18240,20535,18275,17205
"YDL236W",17315,20485,18770,20545,20045,19745,16565,16035,16225,18120,16485,15950
"YDL235C",9705,11780,10225,10750,11290,10930,6350,6130,6405,7905,5560,6665
"YDL234C",21670,20800,21815,21015,20195,18370,21790,23535,19410,24770,20920,18050
"YDL233W",4610,4695,5490,5405,5095,4755,3250,3310,2930,3485,3065,2995
"YDL232W",7255,9095,7580,8590,8925,9350,6850,7150,7380,7760,7110,7040
"YDL231C",11535,12185,10500,11180,10960,10855,8840,9410,8970,10120,8455,8320
"YDL230W",7035,9390,7735,8210,8390,7490,6055,6465,6740,7410,6405,6560
"YDL229W",124340,134425,114190,122525,117890,115640,195140,179205,174305,191020,183555,160685
"YDL228C",80,45,135,95,105,85,95,90,95,75,145,75
"YDL227C",380,365,325,275,355,225,400,305,300,365,225,430
"YDL226C",18390,21320,17990,19610,19920,19485,15675,14730,14330,17340,14395,14870
"YDL225W",9395,10830,9135,9885,10060,9060,6275,6740,7150,7690,5485,7280
"YDL224C",12495,12075,10890,12330,11915,11125,9745,8450,8340,9520,8225,8630
"YDL223C",5735,5425,5040,4865,5040,4550,4695,5275,5150,5530,4720,4515
"YDL222C",2445,2980,2680,2545,2955,2355,3325,3730,3675,4265,3545,3090
"YDL221W",650,760,745,770,660,695,525,455,485,440,480,470
"YDL220C",3660,3910,3400,3405,3805,3530,2550,2415,2200,2665,2280,1945
"YDL219W",3260,3675,3335,3680,3720,3625,2895,2755,3090,3495,2555,2555
"YDL218W",640,715,515,665,565,690,845,875,960,845,815,715
"YDL217C",6525,8355,7165,7645,7525,7715,4545,4485,4230,5065,4660,4490
"YDL216C",2595,2645,2570,2770,2865,2405,1855,2035,2040,2630,1895,2015
"YDL215C",21040,21420,18825,19640,19665,17925,38835,36785,40885,45160,36775,37535
"YDL214C",5930,5950,5780,5490,5970,4895,2305,2300,2135,2150,2050,1995
"YDL213C",4815,5520,5310,5775,5545,5045,3685,4595,3905,4445,3155,3965
"YDL212W",36145,44715,37055,41110,42260,42015,35415,36045,37415,40440,35595,32655
"YDL211C",1600,1510,1365,1635,1625,1825,910,850,765,815,755,835
"tG(GCC)D1",5,15,-5,0,55,35,50,35,20,5,30,-25
"YDL210W",1910,2415,2310,2255,2445,2085,1425,1485,1495,1705,1625,1330
"YDL209C",1715,1960,1585,1650,2080,1955,720,700,890,945,605,775
"YDL208W",7005,9195,7975,8400,7925,8795,8825,10380,9845,10175,7810,8975
"YDL207W",6910,7755,7120,6995,6595,6400,4695,5130,4155,5185,4120,4265
"YDL206W",7910,8380,8560,7980,7845,6935,8810,9035,8685,9100,9000,6745
"YDL205C",7395,8085,7165,7300,7070,7365,7050,6915,8000,7900,7360,7310
"YDL204W",4805,4740,4615,4035,4690,4010,44410,42725,47045,50675,43415,40195
"YDL203C",5575,5975,4880,5405,5650,4540,4150,3940,3885,4410,3725,3300
"YDL202W",4645,5615,4790,5130,4910,4575,3760,3705,3870,4540,3480,4275
"YDL201W",2745,3390,2970,2865,2965,3165,2970,3480,3005,3450,2870,3180
